"34 303,94",,,,,,,,,,,,,,,,,,,,,$2.249.469,,Objetivo Facturación,,,Objetivo Visitas,71.435,Objetivo Órdenes,155,,"-0,4594594595",Objetivo Ticket,$612.903,,,,"1,058823529",Inversión Total,,,Inv. Google | AO,Inv. Google | Hot Sale > Previa ,Inv. Google | Hot Sale > Acción ,Inv. Meta | AO,Inv. Meta | Hot Sale > Previa ,Inv. Meta | Hot Sale > Acción ,Inv. Tik Tok | AO,Inv. TT | Hot Sale > Acción ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,"BNA:  Hasta 24 cuotas sin interés  -
BBVA: Hasta 12 cuotas sin interés - 
NARANJA: Hasta 14 cuotas sin interés - 
GALICIA: Hasta 12 cuotas sin interés - 
MODO:   20% de reintegro  | Tope: $30.000 por banco y por promoción 
GO CUOTAS: 3 GO CUOTAS 
MERCADOPAGO: Hasta 18 cuotas sin interés ",HOTSALE  hASTA 35% Y HASTA 24 CSI ,domingo,17 de mayo,"1,85%", $2.692.280, $4.304.341,60%,3046,2.082,6,8,"0,19%","0,38%", $465.180, $538.043, $426.771, $538.043,6,8,"3,67%", $0, $270.703,"$171.323,46",,,"$99.379,18",,, $0,,#DIV/0!,"1,09","1,00","0,00%","6,29%","6,23%",,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,Lanzamiento Odissey GT 5 ,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,EXTENSIÓN HOT SALE HASTA 35% off y Hasta 24 CSI,lunes,18 de mayo,"1,70%", $2.477.702, $7.978.046,222%,3927,1.591,3,4,"0,07%","0,25%", $901.339, $1.994.511, $842.373, $1.994.511,3,4,"2,44%", $0, $206.185,"$139.457,70",,,"$66.727,69",,, $0,,#DIV/0!,"1,07","1,00","0,00%","2,58%","5,74%",,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,Lanzamiento Odissey GT 6,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,,martes,19 de mayo,"0,92%", $1.340.443, $47.735,-96%,2125,2.007,1,1,"0,07%","0,05%", $901.339, $47.735, $842.373, $47.735,2,1,"2,54%", $0, $129.230,"$100.809,62",,,"$28.420,68",,, $0,,#DIV/0!,"1,07","1,00","0,00%","270,72%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,Lanzamiento Odissey GT 7,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,,miércoles,20 de mayo,"2,81%", $4.080.747, $449.999,-89%,6468,2.195,5,1,"0,07%","0,05%", $901.339, $449.999, $842.373, $449.999,5,1,"1,96%", $0, $194.095,"$158.948,50",,,"$35.146,23",,, $0,,#DIV/0!,"1,07","1,00","0,00%","43,13%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#REF!,
,,,,,Lanzamiento Odissey GT 8,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,,jueves,21 de mayo,"1,29%", $1.870.287, $4.289.946,129%,2964,3.270,2,4,"0,07%","0,12%", $901.339, $1.072.486, $842.373, $1.072.486,2,4,"1,56%", $0, $223.946,"$158.018,30",,,"$65.927,61",,, $0,,#DIV/0!,"1,07","1,00","0,00%","5,22%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,Serie A ,Lanzamiento Odissey GT 9,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,Lanzamienot A37 y A57,viernes,22 de mayo,"1,05%", $1.520.105, $89.855,-94%,2409,2.430,2,1,"0,07%","0,04%", $901.339, $89.855, $842.373, $89.855,2,1,"6,60%", $0, $171.935,"$123.678,76",,,"$48.256,37",,, $0,,#DIV/0!,"1,07","1,00","0,00%","191,35%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,Serie A ,Lanzamiento Odissey GT 10,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,,sábado,23 de mayo,"0,75%", $1.088.074, $3.711.639,241%,1725,2.046,1,3,"0,07%","0,15%", $901.339, $1.237.213, $842.373, $1.237.213,1,3,"3,67%", $0, $177.802,"$136.746,46",,,"$41.055,62",,, $0,,#DIV/0!,"1,07","1,00","0,00%","4,79%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,Serie A ,Lanzamiento Odissey GT 11,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,,domingo,24 de mayo,"1,72%", $2.498.009, $749.999,-70%,3959,2.889,3,1,"0,07%","0,03%", $901.339, $749.999, $842.373, $749.999,3,1,"3,67%", $0, $207.893,"$144.203,92",,,"$63.689,21",,, $0,,#DIV/0!,"1,07","1,00","0,00%","27,72%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,Serie A ,Lanzamiento Odissey GT 12,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,,lunes,25 de mayo,"1,70%", $2.477.702, $11.178,-100%,3927,2.699,3,1,"0,07%","0,04%", $901.339, $11.178, $842.373, $5.589,3,2,"2,44%", $0, $220.143,"$161.919,21",,,"$58.223,72",,, $0,,#DIV/0!,"1,07","2,00","0,00%","1969,43%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,Serie A ,Lanzamiento Odissey GT 13,,,,,,,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,Kitchen  30% extra en 1 pago. ,,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 24 XUOTAS SIN INTERES | HASTA 12 BBVA HASTA |2 NARANAJA Y GO CUOTAS X 3 CUOTAS. ,,martes,26 de mayo,"0,92%", $1.340.443, $5.922.252,342%,2125,2.737,1,3,"0,07%","0,11%", $901.339, $1.974.084, $842.373, $1.974.084,2,3,"2,54%", $0, $215.148,"$154.719,51",,,"$60.428,50",,, $0,,#DIV/0!,"1,07","1,00","0,00%","3,63%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
