"34 303,94",,,,,,,,,,,,,,,,,,,,,$2.208.139,,Objetivo Facturación,,,Objetivo Visitas,71.435,Objetivo Órdenes,155,,"-0,4594594595",Objetivo Ticket,$612.903,,,,"2,078431373",Inversión Total,,,Inv. Google,Inv. Meta,Inv. Tik Tok,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,$4.439.993,98%,$95.000.000,"44,79%",- $50.682.427,83.580,"18,48%",109,"-52,08%","0,13%",-60%, $874.332,-5%,,,152,-29%, $7.600.000,,98%,$4.460.000,$2.565.000,$575.000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Enero,,,,,,Día,,Facturación,,,,Visitas,,Órdenes,,CR,,Ticket,,PXU,,Items,,Inversión,,,,,,,Items x ordenes,,Relación %,,,,MERCADO LIBRE,,,,,,,,,,,PROVINCIA,,,
,,,,,,,,,,,,,,,,,,,,,,Share,Target,Real,var,Target,Real V,Target,Real,Target,Real,Target,Real,Target,Real,Target,Real,Share,Target,Total Inv,Real Google,Real Meta,Tik Tok Real,var,Target,Real,Target,Real,,,Acciones comerciales,Share,Target Facturación,Facturación,Visitas,Órdenes,Conversión,Ticket,Acciones comerciales,Share,Target Facturación,Facturación,Órdenes,Ticket,
,,,,,,,,,Posteo mundial,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,viernes,17 de abril,"4,79%", $4.550.500, $301.473,-93%,4079,3.647,5,1,"0,13%","0,03%", $858.065, $301.473, $612.904, $301.473,7,1,"3,67%", $278.592, $317.951,"$152.125,70","$96.700,48", $69.124,-45%,"1,40","1,00","6,12%","105,47%","15,64%",,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,Posteo mundial,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,sábado,18 de abril,"2,36%", $2.241.949, $0,-100%,2010,3.522,3,0,"0,13%","0,00%", $858.065,, $612.904,#DIV/0!,4,0,"2,44%", $185.728, $356.185,"$184.123,01","$102.937,36", $69.124,-1%,"1,40",#DIV/0!,"8,28%",,"21,40%",,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,Posteo mundial,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja",,,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,domingo,19 de abril,"2,54%", $2.413.000, $0,-100%,2163,4.199,3,0,"0,13%","0,00%", $858.065,, $612.904,#DIV/0!,4,0,"2,54%", $193.157, $340.728,"$163.470,35","$121.390,99", $55.866,-15%,"1,40",#DIV/0!,"8,00%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,Posteo mundial,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja","Generacion de leads TV  ""mundial"" | generacion de leads hotsale. ",,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,lunes,20 de abril,"4,40%", $4.180.000, $1.533.882,-63%,3747,7.134,5,3,"0,13%","0,04%", $858.065, $511.294, $612.904, $219.126,7,7,"1,96%", $148.583, $344.774,"$174.573,06","$114.638,61", $55.562,17%,"1,40","2,33","3,55%","22,48%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#REF!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja","Generacion de leads TV  ""mundial"" | generacion de leads hotsale. ",,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,martes,21 de abril,"2,57%", $2.436.820, $862.110,-65%,2185,4.908,3,1,"0,13%","0,02%", $858.065, $862.110, $612.904, $431.055,4,2,"1,56%", $118.866, $286.688,"$156.509,85","$100.640,93", $29.537,32%,"1,40","2,00","4,88%","33,25%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja","Generacion de leads TV  ""mundial"" | generacion de leads hotsale. ",,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,miércoles,22 de abril,"4,63%", $4.401.942, $2.548.791,-42%,3946,4.538,5,3,"0,13%","0,07%", $858.065, $849.597, $612.904, $509.758,7,5,"6,60%", $501.466, $295.606,"$186.760,29","$81.122,46", $27.723,-63%,"1,40","1,67","11,39%","11,60%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja","Generacion de leads TV  ""mundial"" | generacion de leads hotsale. ",,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,jueves,23 de abril,"2,01%", $1.909.500, $1.062.496,-44%,1712,4.418,2,2,"0,13%","0,05%", $858.065, $531.248, $612.904, $132.812,3,8,"3,67%", $278.592, $253.577,"$141.266,09","$84.657,95", $27.653,-49%,"1,40","4,00","14,59%","23,87%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja","Generacion de leads TV  ""mundial"" | generacion de leads hotsale. ",,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,Nuevas financiaciones y condiciones de uso de cupones de1 pago. ACTIVACION DE GO CUOTAS. ,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,viernes,24 de abril,"4,79%", $4.550.500, $3.498.357,-23%,4079,4.253,5,5,"0,13%","0,12%", $858.065, $699.671, $612.904, $233.224,7,15,"3,67%", $278.592, $291.703,"$182.443,79","$80.959,84", $28.299,-35%,"1,40","3,00","6,12%","8,34%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja","Generacion de leads TV  ""mundial"" | generacion de leads hotsale. ",,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,Nuevas financiaciones y condiciones de uso de cupones de1 pago. ACTIVACION DE GO CUOTAS. ,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,sábado,25 de abril,"2,36%", $2.241.949, $0,-100%,2010,4.408,3,0,"0,13%","0,00%", $858.065,, $612.904,#DIV/0!,4,0,"2,44%", $185.728, $303.847,"$210.218,29","$65.915,69", $27.713,13%,"1,40",#DIV/0!,"8,28%",,,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
,,,,,,,,,,"SMART TV , INFOMATICA, ACCESORIOS, WEARABLES, KITCHEN ",,"FOCO 1 TV SAMSUNG  |
FOCO 2 CELU SAMSUNG |  gama media & baja","Generacion de leads TV  ""mundial"" | generacion de leads hotsale. ",,Kitchen  30% extra en 1 pago. ,Especial TV mudial samsung -HASTA 30% OFF Y HASTA 20 CUOTAS SIN INTERES,Nuevas financiaciones y condiciones de uso de cupones de1 pago. ACTIVACION DE GO CUOTAS. ,BNA hasta 20 cuotas sin interes | campaña completa,Electro Days | Hasta 30% hasta 18 csi + envio a todo el pais. Prodcutos foco solo los que envie samsung. ,domingo,26 de abril,"2,54%", $2.413.000, $4.975.738,106%,2163,5.774,3,3,"0,13%","0,05%", $858.065, $1.658.579, $612.904, $621.967,4,8,"2,54%", $193.157, $282.357,"$158.241,98","$95.330,47", $28.785,-18%,"1,40","2,67","8,00%","5,67%",,,,, $0,,,,#DIV/0!,#REF!,,,#VALUE!,,,#DIV/0!,
