"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-01,2026-05-31,"VIDEO Electro HOTSALE 2026",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,683.0575,5000,Diario,2732.23,551,372,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,-,-,-,"HOTSALE 2026 | RMK Electro",,
2026-05-01,2026-05-31,"IMG HOTSALE 2026",not_delivering,,,,20000,Diario,329.91,27,20,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-01,2026-05-31,"IMG MODO HOTSALE 2026",not_delivering,11,actions:offsite_conversion.fb_pixel_purchase,2004.30272727,10000,Diario,22047.33,8946,4370,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-15T19:17:56-0300,-,-,-,"HOTSALE 2026 MODO | Target",,
2026-05-01,2026-05-31,"VIDEO UltHoras HOTSALE 2026",not_delivering,17,actions:offsite_conversion.fb_pixel_purchase,1345.64352941,10000,Diario,22875.94,5122,2964,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:43-0300,-,-,-,"HOTSALE 2026 | RMK 3 dias",,
2026-05-01,2026-05-31,"VIDEO UltHoras HOTSALE 2026 - Copia",not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,2116.47666667,20000,Diario,12698.86,1525,779,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-01,2026-05-31,"IMG MODO HOTSALE 2026 - Copia",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,2208.955,20000,Diario,8835.82,1235,687,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:38-0300,-,-,-,"HOTSALE 2026 | RMK Previa",,
2026-05-01,2026-05-31,"IMG MODO HOTSALE 2026 - Copia",inactive,,,,10000,Diario,1126.63,166,115,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:43-0300,-,-,-,"HOTSALE 2026 | RMK 3 dias",,
2026-05-01,2026-05-31,"IMG ELECTRODAYS 2026",active,,,,3000,Diario,3319,775,565,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,-,-,-,"ELECTRODAYS 2026 |  RMK WEB + LKL",,
2026-05-01,2026-05-31,"VIDEO ELECTRODAYS 2026",active,9,actions:offsite_conversion.fb_pixel_purchase,4279.14555556,3000,Diario,38512.31,8066,3353,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,-,-,-,"ELECTRODAYS 2026 |  RMK WEB + LKL",,
2026-05-01,2026-05-31,"IMG AO Celulares Feb2025",active,1,actions:omni_landing_page_view,63.36,7040,Diario,63.36,98,94,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Celulares)  | Target A+",,
