Informe de palabras clave de búsqueda
1 de mayo de 2026 - 31 de mayo de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,tv 65,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,17.33,820,51,6.22%,0.28,14.21,51,0.00%,0.00,0.00,0.00,0.28,0.00,0.00
Habilitado,50 smart tv,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,12.35,151,10,6.62%,0.19,1.87,10,0.00%,0.00,0.00,0.00,0.19,0.00,0.00
Habilitado,televisores smart tv,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,30.57,505,30,5.94%,0.51,15.44,30,0.00%,0.00,0.00,0.00,0.51,0.00,0.00
Detenido,Tu Cine en Casa con Inverfin,Concordancia amplia,AI Max - Categorías,Smart TV,Detenida,detenido; publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,TVs Samsung y LG,Concordancia amplia,AI Max - Categorías,Smart TV,Detenida,detenido; publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,tv ofertas,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,64.40,35,10,28.57%,0.23,2.25,10,0.00%,0.00,0.00,0.00,0.23,0.00,0.00
Habilitado,smart tv 65,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,61.85,27,3,11.11%,0.56,1.67,3,0.00%,0.00,0.00,0.00,0.56,0.00,0.00
Habilitado,ofertas de televisores,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,30.25,45,5,11.11%,0.27,1.36,5,0.00%,0.00,0.00,0.00,0.27,0.00,0.00
Habilitado,televisores en oferta,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,13.04,349,17,4.87%,0.27,4.55,17,0.00%,0.00,0.00,0.00,0.27,0.00,0.00
Habilitado,smart tv en oferta,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,21.11,207,16,7.73%,0.27,4.37,16,0.00%,0.00,0.00,0.00,0.27,0.00,0.00
Habilitado,smart tv 55,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,12.84,817,45,5.51%,0.23,10.49,45,0.00%,0.00,0.00,0.00,0.23,0.00,0.00
Habilitado,smart tv en promo,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,0.00,1,0,0.00%,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,smart tv oferta,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,33.20,"1,898",144,7.59%,0.44,63.01,144,0.00%,0.00,0.00,0.00,0.44,0.00,0.00
Habilitado,comprar smart tv,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,27.14,"3,033",267,8.80%,0.31,82.30,267,0.00%,0.00,0.00,0.00,0.31,0.00,0.00
Habilitado,smart tv en paraguay precios,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,26.72,263,22,8.37%,0.32,7.03,22,0.00%,0.00,0.00,0.00,0.32,0.00,0.00
Habilitado,precio smart tv,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,15.82,69,6,8.70%,0.18,1.09,6,0.00%,0.00,0.00,0.00,0.18,0.00,0.00
Habilitado,ofertas tv,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,15.02,85,6,7.06%,0.21,1.28,6,0.00%,0.00,0.00,0.00,0.21,0.00,0.00
Habilitado,smart tv 55 pulgadas precio,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,44.39,369,39,10.57%,0.42,16.38,39,0.00%,0.00,0.00,0.00,0.42,0.00,0.00
Habilitado,television smart tv,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,24.04,806,69,8.56%,0.28,19.38,69,0.00%,0.00,0.00,0.00,0.28,0.00,0.00
Habilitado,ofertas televisores,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,26.53,252,20,7.94%,0.33,6.68,20,0.00%,0.00,0.00,0.00,0.33,0.00,0.00
Habilitado,ofertas de tv,Concordancia amplia,AI Max - Categorías,Smart TV,Apta,,,USD,0,23.88,143,15,10.49%,0.23,3.41,15,0.00%,0.00,0.00,0.00,0.23,0.00,0.00
Habilitado,[lavarropas ofertas inverfin],Concordancia exacta,Search Brand - Inverfin,Lavarropas,No apta,publicación limitada; grupo de anuncios detenido,https://inverfin.com.py/collections/lavarropas-hotsale-2024,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,inverfin electrodomésticos,Concordancia amplia,Search Brand - Inverfin,Brand Inverfin,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado inverter ahorro energía,Concordancia amplia,Search Brand - Inverfin,Brand Inverfin,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado split precio,Concordancia amplia,Search Brand - Inverfin,Brand Inverfin,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,comprar aire acondicionado,Concordancia amplia,Search Brand - Inverfin,Brand Inverfin,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,aire acondicionado inverter precio,Concordancia amplia,Search Brand - Inverfin,Brand Inverfin,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,inverfin catalogo,Concordancia amplia,Search Brand - Inverfin,Brand Inverfin,Apta,,,USD,0,19.87,"9,253","3,212",34.71%,0.06,183.84,"3,212",0.00%,0.00,0.00,0.00,0.06,0.00,0.00
Detenido,aire 9000 btu,Concordancia amplia,Search Brand - Inverfin,Brand Inverfin,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
