Informe de palabras clave de búsqueda
1 de abril de 2026 - 30 de abril de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,moto inverfin,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Apta,,,USD,0,6.00,488,242,49.59%,0.01,2.93,242,19.54%,47.28,16.14,47.28,0.01,0.06,47.28
Habilitado,moto taiga inverfin,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Apta,,,USD,0,13.77,33,19,57.58%,0.02,0.45,19,0.02%,0.00,0.01,0.00,0.02,0.00,0.00
Detenido,moto trabajo 110,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Detenida,detenido,https://inverfin.com.py/collections/motos?filter.p.m.ficha_tecnica.cilindrada=110+CC,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,moto 125 cuotas,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,moto automatica oferta,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Apta,,,USD,0,21.15,167,14,8.38%,0.25,3.53,14,39.82%,5.57,1.58,5.57,0.25,0.63,5.57
Detenido,[moto automática precio],Concordancia exacta,Search - Motos Taiga,Motos Genérica,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,moto trabajo 125,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,[moto 125 precio],Concordancia exacta,Search - Motos Taiga,Motos Genérica,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,moto 125 precio,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Detenida,detenido,https://inverfin.com.py/collections/motos?filter.p.m.ficha_tecnica.cilindrada=125+CC,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,moto barata paraguay,Concordancia amplia,Search - Motos Taiga,Motos Genérica,Apta,,,USD,0,21.29,"1,836",154,8.39%,0.25,39.09,154,43.03%,66.27,1.70,66.27,0.25,0.59,66.27
Habilitado,moto 125 oferta,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,3.16,115,3,2.61%,0.12,0.36,3,36.29%,1.09,2.99,1.09,0.12,0.33,1.09
Detenido,[moto 110 precio],Concordancia exacta,Search - Motos Taiga,Taiga TL 125,Detenida,detenido; baja calidad,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,moto 125 precio,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,14.46,935,60,6.42%,0.23,13.52,60,27.44%,16.47,1.22,16.47,0.23,0.82,16.47
Habilitado,taiga 125,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,28.28,135,29,21.48%,0.13,3.82,29,66.84%,19.38,5.08,19.38,0.13,0.20,19.38
