Informe de grupos de anuncios
1 de abril de 2026 - 30 de abril de 2026
Estado del grupo de anuncios,Grupo de anuncios,Campaña,Código de moneda,CPV objetivo de TrueView,CPA objetivo,ROAS objetivo,CPM objetivo,Estado,Motivos del estado,Tipo de grupo de anuncios,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Inclusiones de marca,Ubicaciones de interés,Conv. (comparable con otras plataformas),Costo/conv. (comparable con otras plataformas),Valor de conv./costo (comparable con otras plataformas),Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Habilitado,Intención TV Pasionista,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Apto,desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Heladeras,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Dinámico,USD,0,28.20,888,97,10.92%,0.26,25.04,[],[],0.00,0,0.00,97,0.00%,0.00,0.00,0.00,0.26,0.00,0.00
Habilitado,Taiga TL 125,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,28.66,"4,904",416,8.48%,0.34,140.53,[],[],0.00,0,0.00,416,70.43%,292.98,2.08,292.98,0.34,0.48,292.98
Habilitado,Intención día de la madre,Generación de demanda - Inverfin - Día de la Madre,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Celulares,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Dinámico,USD,0,8.18,"2,731",724,26.51%,0.03,22.33,[],[],0.00,0,0.00,724,0.00%,0.00,0.00,0.00,0.03,0.00,0.00
Habilitado,Similares a compradores TV Pasionista,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Apto,desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención TV Mundial,Youtube in stream - Promo TV Pasionista,USD,0.02, --, --, --,No apto,campaña detenida; desconocido,Anuncio de video responsivo,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Intención día de la madre,Generación de demanda - Inverfin - Día de la Madre.,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención hotsale 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Heladeras,Search - Aires Acondicionado,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Aires Acondicionados,Search - Aires Acondicionado,USD, --, --, --, --,No apto,campaña detenida; desconocido,Estándar,USD,0,27.22,"21,911","2,167",9.89%,0.28,596.47,[],[],0.00,0,0.00,"2,167",0.05%,"1,905.03",3.19,1.00,0.28,596.47,"1,905.03"
Habilitado,Motos Genérica,Search - Motos Taiga,USD, --, --, --, --,Apto,desconocido,Estándar,USD,0,15.20,"50,194","13,391",26.68%,0.06,762.71,[],[],0.00,0,0.00,"13,391",36.75%,"4,921.59",6.45,"4,921.59",0.06,0.15,"4,921.59"
Habilitado,Remarketing visitas,Generación de demanda - Inverfin,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Intención Día de la madre,Youtube in stream - Promo TV Pasionista,USD,0.02, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Anuncio de video responsivo,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Cocinas y Electro cocina #2,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido,Dinámico,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Brand Inverfin,Search Brand - Inverfin,USD, --, --, --, --,Apto,se rechazaron algunos anuncios,Estándar,USD,0,13.63,"93,512","43,176",46.17%,0.03,1275.04,[],[],0.00,0,0.00,"43,176",0.01%,"1,343.83",1.05,3.52,0.03,362.47,"1,343.83"
Habilitado,Motos Taiga,DSA - Inverfin,USD, --, --, --, --,No apto,campaña detenida; desconocido,Dinámico,USD,0,15.43,"3,743",591,15.79%,0.10,57.74,[],[],0.00,0,0.00,591,0.00%,0.00,0.00,0.00,0.10,0.00,0.00
Detenido,Remarketing visitas,Generación de demanda - Inverfin - Día de la Madre,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Remarketing visitas,Generación de demanda - Inverfin - TV Pasionista,USD, --, --, --, --,Apto,desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Grupo de anuncios 1,DSA - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida,Estándar,USD,0,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,Similares a compradores hotsale 2026,Generación de demanda - Inverfin,USD, --, --, --, --,Detenido,grupo de anuncios detenido; campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,Similares a compradores Día de la madre 2026,Generación de demanda - Inverfin - Día de la Madre*,USD, --, --, --, --,No apto,campaña detenida; desconocido, --,USD,0,0,0,0, --,0,0.00,[],"[geo_target_criterion_id: 	 2600
localized_full_name: ""Paraguay""
name: ""Paraguay""
country_code: ""PY""
]",0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Grupos de anuncios,,,,,,,,,,,USD,0,8.23,"574,559","81,820",14.24%,0.06,4729.79,,,"7,624.00",0.62,1.61,"81,820",8.74%,"11,236.72",2.38,"7,154.33",0.06,0.66,"11,236.72"
Total: Cuenta,,,,,,,,,,,USD,0.001,2.29,"3,931,745","525,078",13.35%,0.02,9016.15,,,"7,624.00",1.18,0.85,"166,627",3.83%,"30,037.41",3.33,"20,131.05",0.05,0.45,"30,037.41"
Total: Máximo rendimiento,,,,,,,,,,,USD,0.001,1.28,"3,357,186","443,258",13.20%,0.01,4286.36,,,0.00,0,0.00,"84,807",2.93%,"18,800.69",4.39,"12,976.72",0.05,0.33,"18,800.69"
Total: Búsqueda,,,,,,,,,,,USD,0,14.91,"297,040","71,376",24.03%,0.06,4427.57,,,0.00,0,0.00,"71,376",9.71%,"11,010.80",2.49,"6,928.41",0.06,0.64,"11,010.80"
Total: Generación de demanda,,,,,,,,,,,USD,0,0.92,"227,858","7,045",3.09%,0.03,210.15,,,"7,624.00",0.03,36.28,"7,045",3.21%,225.92,1.08,225.92,0.03,0.93,225.92
Total: Anuncio gráfico,,,,,,,,,,,USD,0,1.85,"49,661","3,399",6.84%,0.03,92.07,,,0.00,0,0.00,"3,399",0.00%,0.00,0.00,0.00,0.03,0.00,0.00
Total: Video,,,,,,,,,,,USD,0,0,0,0, --,0,0.00,,,0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
