"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-25,2026-06-01,"COLECCION c/videoMUNDIAL 2026 - Copia 2",active,,,,5000,Diario,5654.51,1234,678,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,Promedio,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","MUNDIAL 2026 TV |  RMK WEB TV",,
2026-05-25,2026-06-01,"COLECCION c/img IMG MUNDIAL 2026 - Copia",active,,,,5000,Diario,262.69,67,58,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"MUNDIAL 2026 TV |  RMK WEB TV",,
2026-05-25,2026-06-01,"DINAMICO Killers MUNDIAL 2026",active,,,,5000,Diario,2265.25,631,412,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"MUNDIAL 2026 TV |  RMK WEB TV",,
2026-05-25,2026-06-01,"IG REEL 29-05 MUNDIAL",active,40,actions:post_engagement,28.315,1500,Diario,1132.6,225,214,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-01T11:34:28-0300,-,-,-,"IG Postesos RMK Generales",,
2026-05-25,2026-06-01,"VIDEO AO Wearables Feb2025",active,,,,2000,Diario,3.14,3,3,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-25,2026-06-01,"VIDEO AO KitchenFeb2025",active,,,,2000,Diario,0,1,1,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-25,2026-06-01,"CARRUSEL Categorias AO Leads",active,8,actions:leadgen.other,1140.5625,1500,Diario,9124.5,2116,1693,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-26T18:30:12-0300,-,-,-,"AO Leads | Target Samsung",,
2026-05-25,2026-06-01,"VIDEO AO leads Generica",active,,,,1500,Diario,183.71,37,35,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-26T18:30:12-0300,-,-,-,"AO Leads | Target Samsung",,
2026-05-25,2026-06-01,"IMG AO leads Generica",active,,,,1500,Diario,394.82,72,71,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-26T18:30:12-0300,-,-,-,"AO Leads | Target Samsung",,
2026-05-25,2026-06-01,"IMG MUNDIAL 2026 - Copia",active,3,actions:offsite_conversion.fb_pixel_purchase,8110.40666667,5000,Diario,24331.22,7296,2904,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"MUNDIAL 2026 TV |  RMK WEB TV",,
2026-05-25,2026-06-01,"VIDEO MUNDIAL 2026 - Copia",active,,,,5000,Diario,775.2,133,108,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,0,-,-,-,"MUNDIAL 2026 TV |  RMK WEB TV",,
2026-05-25,2026-06-01,"IMG Lanz A57 + A37 LANZAMIENTO Junio 2026",active,,,,4216,Diario,0.23,8,8,2026-06-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,-,-,-,"Lanz A57 + A36 | RMK Celulares + LKL",,
2026-05-25,2026-06-01,"VIDEO Lanz A57 + A37 LANZAMIENTO Junio 2026",active,,,,4216,Diario,4483.25,1922,1242,2026-06-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,-,-,-,"Lanz A57 + A36 | RMK Celulares + LKL",,
2026-05-25,2026-06-01,"CARRUSEL Lanz A57 + A37 LANZAMIENTO Junio 2026",active,,,,4216,Diario,185.04,66,62,2026-06-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,-,-,-,"Lanz A57 + A36 | RMK Celulares + LKL",,
