"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-18,2026-05-25,"DINAMICO (carrusel) HOTSALE 2026",not_delivering,,,,7000,Diario,3911.4,622,440,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:38:34-0300,-,-,-,"HOTSALE 2026 Catalogo | Target A+",,
2026-05-18,2026-05-25,"DINAMICO (carrusel) HOTSALE 2026 - Copia",not_delivering,,,,7000,Diario,3911.8,896,783,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-14T19:38:33-0300,-,-,-,"HOTSALE 2026 Catalogo | Lookalike Ticket Alto",,
2026-05-18,2026-05-25,"Dinamico (carrusel) sinportada TV HOTSALE 2026 - Copia",not_delivering,69,actions:omni_landing_page_view,24.06362319,3000,Diario,1660.39,1642,1474,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-15T21:37:20-0300,Promedio,"Por encima del promedio","Por encima del promedio","HOT SALE 2026 Trafico (TV)  | Target A+ - Copia",,
2026-05-18,2026-05-25,"DINAMICO (carrusel)  TV HOTSALE 2026 - Copia",not_delivering,,,,5000,Diario,4985.47,1454,1021,2026-05-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-15T15:52:32-0300,Promedio,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","HOTSALE 2026 | RMK TV",,
2026-05-18,2026-05-25,"Dinamico (img/video) Celu",active,91,actions:omni_landing_page_view,72.23824176,7040,Diario,6573.68,9673,8254,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,Promedio,Promedio,"AO (Celulares)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Celu",active,1189,actions:omni_landing_page_view,25.0493524,7040,Diario,29783.68,57057,42702,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/video Celulares AO Feb2025",active,186,actions:omni_landing_page_view,34.36311828,7040,Diario,6391.54,11071,7349,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-18,2026-05-25,"COLECCION c/img Celulares AO Feb2025",active,31,actions:omni_landing_page_view,51.84129032,7040,Diario,1607.08,2633,2381,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Celulares)  | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Kitchen Heladeras ticket alto",active,473,actions:omni_landing_page_view,27.77059197,2000,Diario,13135.49,21783,16402,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:31:15-0300,Promedio,"Por encima del promedio","Por encima del promedio","AO (Electro Heladeras) | Target A+",,
2026-05-18,2026-05-25,"Dinamico (carrusel) Informatica Monitores",active,434,actions:omni_landing_page_view,21.98728111,1500,Diario,9542.48,10252,7333,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:23-0300,Promedio,"Por encima del promedio","Por debajo del promedio - 35% de los anuncios menos relevantes","AO (InformaticaMonitores)  | Target A+",,
