# ----------------------------------------
# Adquisición de tráfico: Fuente/medio de la sesión
# Cuenta: Multipoint
# Propiedad: Multipoint 4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260501
# Fecha de finalización: 20260531
Fuente/medio de la sesión,Sesiones,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por sesión,Eventos por sesión,Número de eventos,Eventos clave,Tasa de evento clave de sesión,Total de ingresos
solme / cupon,6,5,0.8333333333333334,46.5,12.333333333333334,0,0,0,0
web / landing,6,5,0.8333333333333334,4,9.333333333333334,0,0,0,0
bbva.com.ar / referral,5,4,0.8,21.2,34.4,0,0,0,0
cse.google.com / referral,5,4,0.8,3.8,9.2,0,0,0,0
getblue / remarketing,5,3,0.6,7.6,14.2,0,0,0,0
popup / popup,5,4,0.8,6.2,9.8,0,0,0,0
t.co / referral,5,5,1,20.2,16.2,0,0,0,0
(not set) / organic_social,4,4,1,0,7,0,0,0,0
mascerca.com.ar / referral,4,4,1,79.75,20,0,0,0,0
metaads-FeaturedOfferings / pauta,4,4,1,0,18,0,0,0,0
multiradio.com.ar / referral,4,4,1,35.25,24.75,0,0,0,0
shell / cupon,4,3,0.75,30.25,24.25,0,0,0,0
127.0.0.1:8080 / referral,3,2,0.6666666666666666,3.3333333333333335,9.666666666666666,0,0,0,0
ads.tiktok.com / referral,3,3,1,32.666666666666664,27,0,0,0,0
clarin365 / cupon,3,3,1,13.666666666666666,10,0,0,0,0
clubsancorsalud.com.ar / referral,3,3,1,270.6666666666667,138.33333333333334,1,0,0.3333333333333333,0
gocuotas.com / referral,3,2,0.6666666666666666,3.3333333333333335,6,0,0,0,0
mail.google.com / referral,3,2,0.6666666666666666,99.66666666666667,26.333333333333332,0,0,0,0
yahoo / organic,3,2,0.6666666666666666,0,6.666666666666667,0,0,0,0
admanager.google.com / referral,2,2,1,21,9.5,0,0,0,0
bbvabeneficios.gointegro.com / referral,2,2,1,31,28.5,0,0,0,0
canva.com / referral,2,2,1,3,12,0,0,0,0
clubzurich / cupon,2,1,0.5,0.5,5,0,0,0,0
cybermonday.com.ar / referral,2,1,0.5,0,7.5,0,0,0,0
es.search.yahoo.com / referral,2,2,1,52,19.5,0,0,0,0
google / Banner-ejecutivosLFD,2,2,1,7,11,0,0,0,0
googleads.g.doubleclick.net / referral,2,2,1,1.5,6,0,0,0,0
l.instagram.com / organic_social,2,2,1,22,13.5,0,0,0,0
roysearch.com / referral,2,2,1,0.5,10,0,0,0,0
search.brave.com / referral,2,2,1,7.5,16.5,0,0,0,0
syndicatedsearch.goog / referral,2,2,1,26.5,8,0,0,0,0
tigre.gob.ar / referral,2,2,1,16,26,0,0,0,0
web.telegram.org / referral,2,2,1,1.5,11,0,0,0,0
1e5a8a3838fe33b04bcd23f0ae2d84f2.safeframe.googlesyndication.com / referral,1,1,1,12,8,0,0,0,0
2022_Multi_Nuevo_Registro_01 / email,1,1,1,31,33,0,0,0,0
3868bc02a30b3004fe323ca6eb6c6c5e.safeframe.googlesyndication.com / referral,1,1,1,8,9,0,0,0,0
